time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id
2018-06-09T12:08:59.430Z,19.4113331,-155.2986603,-0.11,2.77,ml,9,147,0.01192,0.15,hv,hv70252782
2018-06-09T12:06:02.790Z,19.4363327,-155.2928314,-0.84,2.83,ml,31,59,0.01536,0.37,hv,hv70252777
2018-06-09T12:05:44.820Z,19.3928337,-155.2768402,0.58,2.73,ml,16,95,0.003932,0.16,hv,hv70252772
2018-06-09T12:05:31.790Z,19.3878326,-155.2799988,0.81,2.78,ml,21,60,0.002073,0.18,hv,hv70252767
2018-06-09T12:03:49.170Z,19.4133339,-155.2818298,0.12,2.59,ml,26,38,0.004808,0.27,hv,hv70252762
2018-06-09T12:03:13.020Z,19.3921661,-155.2684937,0.61,2.66,ml,24,53,0.005811,0.23,hv,hv70252757
2018-06-09T12:00:43.480Z,19.3991661,-155.276001,1.61,2.52,ml,30,44,0.004385,0.15,hv,hv70252747
2018-06-09T12:00:35.760Z,19.3999996,-155.2838287,-1.08,2.52,ml,7,198,0.01066,0.15,hv,hv70252742
2018-06-09T11:59:39.250Z,19.4243336,-155.2734985,2.04,2.32,ml,11,109,0.003877,0.14,hv,hv70252737
2018-06-09T11:56:30.980Z,19.4241657,-155.2745056,0.62,2.37,ml,18,67,0.002963,0.31,hv,hv70252727
2018-06-09T11:53:33.800Z,19.4115009,-155.2826691,0.25,2.41,ml,31,38,0.006275,0.23,hv,hv70252717
2018-06-09T11:52:21.080Z,19.4013329,-155.2678375,2.38,1.86,ml,18,69,0.003515,0.18,hv,hv70252712
2018-06-09T11:50:07.120Z,19.4125004,-155.2633362,1.23,1.87,ml,13,84,0.003291,0.12,hv,hv70252707
2018-06-09T11:47:53.830Z,19.4021664,-155.2688293,0.52,2.64,ml,21,56,0.004713,0.38,hv,hv70252702
2018-06-09T11:47:37.840Z,19.3999996,-155.2711639,0.48,2.51,ml,23,57,0.00515,0.12,hv,hv70252697
2018-06-09T11:46:16.550Z,46.1886667,-122.1775,0.77,0.51,md,4,172,0.01448,0,uw,uw61383797
2018-06-09T11:45:04.540Z,19.4155006,-155.284668,0.5,2.25,ml,32,36,0.002217,0.17,hv,hv70252692
2018-06-09T11:44:27.640Z,59.936,-140.9987,15.5,1.3,ml,,,,0.48,ak,ak19737129
2018-06-09T11:43:34.170Z,34.0748333,-117.5098333,3.81,0.99,ml,30,58,0.06311,0.2,ci,ci38194472
2018-06-09T11:42:57.136Z,63.5327,-150.8575,7.1,1.4,ml,,,,0.61,ak,ak19737126
2018-06-09T11:40:29.880Z,19.4326668,-155.3091736,-1.16,2.46,ml,9,110,0.0206,0.37,hv,hv70252677
2018-06-09T11:39:43.540Z,19.3123341,-155.1901703,3.59,2.7,ml,12,113,0.04492,0.18,hv,hv70252672
2018-06-09T11:37:02.890Z,34.0748333,-117.5106667,2.82,0.86,ml,22,102,0.06361,0.23,ci,ci38194464
2018-06-09T11:36:15.070Z,19.4064999,-155.2626648,1.5,2.22,ml,20,76,0.006149,0.17,hv,hv70252662
2018-06-09T11:34:21.990Z,33.2353333,-116.7705,11.13,1.52,ml,55,39,0.1094,0.22,ci,ci38194456
2018-06-09T11:34:15.990Z,19.4171658,-155.2850037,1.07,2.41,ml,45,29,0.0009879,0.21,hv,hv70252657
2018-06-09T11:31:45.740Z,19.4244995,-155.2619934,0.68,2.3,ml,31,63,0.001762,0.19,hv,hv70252647
2018-06-09T11:30:45.220Z,19.4058342,-155.2763367,-0.56,2.11,ml,10,128,0.01072,0.27,hv,hv70252642
2018-06-09T11:28:32.190Z,19.383667,-155.2640076,0.11,2.53,ml,18,58,0.01213,0.28,hv,hv70252637
2018-06-09T11:28:03.030Z,33.5226667,-116.7908333,6.7,0.16,ml,14,131,0.06177,0.22,ci,ci38194448
2018-06-09T11:27:52.830Z,19.4171658,-155.2669983,0.8,2.49,ml,17,69,0.008173,0.29,hv,hv70252632
2018-06-09T11:27:10.660Z,19.3916664,-155.2879944,1.19,2.36,ml,22,61,0.005901,0.26,hv,hv70252627
